Difficulty Level,Question,Option A,Option B,Option C,Option D,Correct Answer,Description
2,"The king of Macedonia, who conquered most of Asia Minor and defeated Porus (India) in 327 B. C. was",Adolf Hitler,Alexander the Great,Chandragupta Maurya,Christopher Columbus,B,-
1,The largest lake in India is,Luni lake,Sambhar lake,Wular lake,None of the above,C,-
2,The headquarter of the International Committee of Red Cross are at,Geneva,Paris,Rome,Stockholm,A,-
2,The important industries of Rajasthan are,textiles and woollen,sugar and cement,glass and zinc smelters,All of the above,D,-
2,The headquarter of the Indian Mountaineering Foundation is at,Kolkata,Darjeeling,New Delhi,Warsaw,C,-
2,The member states of Benelux Economic Union are,"Belgium, Netherlands, Luxembourg","Algeria, Bahrain, Comoros, Iraq","Indonesia, Kuwait, Libya","Guyana, Jamaica, Trinidad, Tobago",A,-
1,The largest city of India is,New Delhi,Mumbai,Kolkata,Chennai,B,-
1,The literacy rate of Andaman & Nicobar Islands is,81.18 per cent,80.76 per cent,79.23 per cent,78.11 per cent,A,-
2,The important industries of Assam are,"tea processing, oil refineries and coal",silk and plywood,both (a) and (b),None of the above,C,-
3,"The longest rail line of the world, Trans-Siberian line, is in",Russia,China,USA,Saudi Arabia,A,-
2,The measurement of Lawn Tennis court for singles,70 ft. by 26 ft.,78 ft. by 27 ft.,70 ft. by 30 ft.,78 ft. by 38 ft.,B,-
1,The main credit of the concept of Non-aligned Movement goes to,"Pt. Jawaharlal Nehru, India",Marshal Tito - President of Yugoslavia,Dr. Sukarno - President of Indonesia,G. A. Nassir - President of Egypt,A,-
3,The Kvinna Till Kvinna foundation (Sweden) was award Right Livelihood Award in 2002 for,"its remarkable successes in healing the wounds of ethnic hatred and war, by helping women, often the prime victims, to be the major agents of reconciliation and peace-building",outstanding courage and persistent efforts to expose and bring to account the tortures,"Their exemplary and indomitable courage and compassion, which have proved that, even after murderous civil war, young people from different ethnic groups can learn to live and build a future together in peace and harmony",None of the above,A,-
2,The main purpose of International Bank for Reconstruction (IBRD) is,"development of economics of members by facilitating investment of capital and foreign investment, through provision of loans","promotes co-operation on technical matters of maritime safety, navigation and encourages anti-pollution measures",attainment of the highest possible level of health by all people,None of the above,A,-
2,The headquarter of the United Nations is at,Geneva,Paris,New York,"Washington, D.C.",C,-
1,The main purpose of the Group of 77 was,sustained economic growth,to promote African unity and solidarity,to defend the economic and trade interests of the developing nations of the world,None of the above,C,-
3,"The largest party of Ireland, the Ulster Unionist Party, endorses the Northern Ireland peace deal between British and Irish governments in",1997,1988,1998,1990,C,-
3,The last ruler of the Mughal dynasty was,Babur,Bahadurshah Zafar,Akbar,None of the above,B,-
1,The headquarter of the Warsaw Treaty Organization were at,Berlin,Prague,Moscow,Warsaw,C,-
3,The main objective of the Department of Atomic Energy is,"to generate safe, economic electrical power from nuclear energy",to built research reactors and to utilize the radioisotopes,to encourage technology transfer and interaction with industry for industrial & social development,None of the above,D,-
1,The last Asian Games took Place in 2002 at,"Bangkok, Thailand","Busan, South Korea","Hiroshima, Japan","Beijing, China",B,-
2,The important minerals of Assam are,coal and limestone,petroleum,copper and mica,"manganese, gold and quartzite",B,-
2,The headquarter of BSF are at,Chennai,Kolkata,New Delhi,Mumbai,C,-
1,The main function of General Assembly of UNO is:,It discusses & makes recommendations on any subject mentioned in the UN charter except those with which the Security Council may be dealing with,It is responsible for international peace and security,"It is responsible for admission of new member, suspension and for expulsion of old member",All of the above,A,-
1,The headquarter of Lalit Kala Academy are at,New Delhi,Chandigarh,Pune,Kolkata,A,-
3,The headquarter of Army are situated at,New Delhi,Mumbai,Kolkata,Chennai,A,-
2,The headquarter of the International Court of Justice are at,Geneva,The Hague,Rome,Vienna,B,-
3,The highest rank in Army is that of,Brigadier,General,Lieutenant General,Major General,B,-
2,The headquarter of Asian Development Bank is located in which of the following cities,Jakarta,Singapore,Bangkok,Manila,D,-
2,The Melghat Tiger reserve is in,Assam,Maharashtra,Karnataka,Orissa,B,-
1,The legislature of Sikkim is,Unicameral,Bicameral,Polycameral,None of the above,A,-
1,The lower limit of perpetual snow in mountains such as the Himalayas is termed as the,tree line,timber line,snow line,boundary line,C,-
3,The instrument used to measure electric current is,ammeter,electrometer,galvanometer,spectrometer,A,-
2,The helicopter fleet of Air Force consists of,Chetak,Cheetah,"MI-8s, MI-17s, MI-26",All of the above,D,-
1,The Infantry school (Army) is situated at,Mhow,Deolali,Bareilly,Pune,A,-
3,"The headquarter of a few agencies related to the UN are located in Vienna, which is in",Austria,Belgium,Denmark,Sweden,A,-
1,The Law of Natural Selection is associated with,Dalton,Darwin,Kepler,Mendel,B,-
3,The Indian space programme began in,1961,1962,1965,1969,B,-
2,The influx of domestic sewage containing detergents cause nutrient enrichment in water bodies due to the presence of,carbonates,nitrates,phosphates,silicates,C,-
2,The member states of European Union are,"Belgium, Denmark, France and Greece","The Federal Republic of Germany, Republic of Ireland, Italy","Luxembourg, Netherlands, Portugal, Spain",All of the above,D,-
1,The height of the net in the center of the tennis court is,2 ft. 10 inches,2 ft. 11 inches,2 ft. 1 inch,3 ft. 2 inches,D,-
2,The last or 13th NAM (Non-aligned Movement) conference was held on,September 2000 at Jakarta (Indonesia),September 2001 at Cartagene,September 2002 at Durban,September 2003 at Kuala Lumper,D,-
3,The largest airport in the world is,Palam Airport,Indira Gandhi International Airport,Cochin International Airport,King Khalid International Airport,D,-
1,The main crops of Sikkim are,"rice, maize, bajra, wheat, barley, cardamom","sugarcane, tobacco, wheat, rice,","chillies, oilseeds, groundnut, pepper",None of the above,A,-
1,The increased use of groundwater for irrigation purposes has led to,salinization,lowering of the water table,water logging,All of the above,D,-
1,The headquarter of ECA (Economic Commission for Africa) are situated at,Bangkok,Geneva,Addis Ababa,Baghdad,C,-
3,The last month of the Saka year is,Phalguna,Chaitra,Asadha,Pausa,A,-
3,The main crop of Meghalaya is,rice,wheat,barley,sugarcane,A,-
2,The major minerals found in Uttar Pradesh are,limestone and dolomite,rock phosphate and dolomite,copper and graphite,None of the above,A,-
1,The member of SEATO (South-East Asia Treaty Organisation) are,"Australia, France, New Zealand","Philippines, Thailand",UK and USA,All of the above,D,-
2,"The highest national award in India given for exceptional work for advancement of art, literature and science",Bharat Ratna,Padma Awards,Gallantry Awards,None of the above,A,-
1,The main reserves of phosphorus in the biosphere is in the,hydrosphere,atmosphere,lithosphere,troposphere,C,-
1,The Loktak lake facing environmental problems is situated in,Orissa,Assam,Manipur,Kerala,C,-
1,"The Olympic Flame, was, for the first time, ceremonially lighted and burnt in a giant torch at the entrance of the stadium at",Athens Games (1896),London Games (1908),Paris Games (1924),Amsterdam Games (1928),D,-
1,The Olympic Flame symbolises,unity among various nations of the world,"speed, perfection and strength",sports as a means for securing harmony among nations,continuity between the ancient and modern games,D,-
3,The reaction which converts sugar solution into alcohol is an example of,saponification,hydrogenation,fermentation,hydrolysis,C,-
2,The Scottish bacteriologist who discovered penicillin was,Alexander Fleming,Albert Einstein,Archimeder,Aryabhatta,A,-
1,The number of already named bones in the human skeleton is,200,206,212,218,B,-
2,The purpose of United Nations Fund for Population Activities (UNFPA) is,studying population dynamics,collecting population data,"evolving population policies, family planning and related programmes",All of the above,D,-
2,"The National Sports Festival for women was, for the first time, organized in",1970,1975,1980,1985,B,-
1,The official working languages recognised by the UNO are,Chinese and English,French and Russian,Spanish and Arabic,All of the above,D," The six official languages of the United Nations are:

1. Arabic
2. Chinese (Mandarin)
3. English
4. French
5. Russian
6. Spanish "
2,The ozone layer restricts,visible light,infrared radiation,x-rays and gamma rays,ultraviolet radiation,D,-
1,The Secretary-General is required to submit an annual report on the work of the UN to,the General Assembly,the Security Council,the Trusteeship Council,All of the above simultaneously,A,-
3,The SLV-3 project provided India with the expertise to lop a larger and more sophisticated launch vehicle,PSLV,ASLV,GSLV,None of the above,B,-
3,"The site of the third oldest civilisation after the Sumerian and Egyption, Mohenjo-daro, was Built in",2500 BC,2500-2000 BC,2300 BC,2200 BC,A,-
1,The saffron colour in the national flag signifies,truth and peace,courage and Sacrifice,faith and chivalry,None of the above,B,-
1,The official languages of the United Nations are,"African, Chinese, English, French, German and Spanish","Arabic, Chinese, English, French, Russian and Spanish","Arabic, Japanese, Chinese, English, French and German","Chinese, English, French, Hindi, Japanese and Spanish",B,-
3,The news agency Reuters belongs to which of the following country?,Palestine,Yugoslavia,Vietnam,UK,D,-
2,The sacred place of the followers of Shintoism is,Central shrine of Ise (Central of Japan),Yasukuni Shrine in Tokyo,both are correct,None of the above,C,-
2,The smallest state of India is,Rajasthan,Sikkim,Himachal Pradesh,Goa,D,-
2,"The parts of the Mahabharata which include Bhagawad Gita, is",more then 100 years old,more then 2500 years old,more then 1500 years old,None of the above,B,-
3,"The ruling party of Singapore, where no opposition parties are allowed is called",People's Party,People's Action Party,Labour Party,Communist Party,B,-
3,The restoration o the Olympic Games at the end of the last century was at the initiative of a/an,French baron,Greek philosopher,German philanthropist,English duke,A,-
3,The national sport of Canada is,tennis and cricket,lacrosse,judo,rugby and football,B,-
2,"The Prize that is awarded every two years to people who have worded for ""Freedom of speech"", is",Plame Prize,UNEOSCO Prize for Tolerance,Unesco Peace Award,Monismanien Swedish,D,-
1,The origin of modern badminton is attributed to,India,Britain,France,Spain,B,-
1,"The SAF (South Asian Federation) Game, as a part of the SAARC programme, was first held in",1964,1974,1984,1994,C,-
1,The normal threshold of hearing is around,60-80 db,45-60 db,100-120 db,25-45 db,D,-
1,The refrigerant commonly used for domestic refrigerators is,alcohol,ammonia,neon,None of the above,B,-
1,The normal term of office for which the President and Vice-President of the International Court of Justice are elected is,three years,five years,seven years,nine years,A,-
1,The ozone layer is being destroyed by chlorofluorocarbons. In this regard which do you consider as the most harmful?,Carbon atom,Chlorine atom,Fluorine atom,The entire compound,B,-
3,The North Atlantic Treaty Organisation was created in,1945,1947,1949,1951,C,-
1,The principal bodies of the UNO are The General Assembly and the Security Council  The Economic and Social Council  International Court of Justice  Trusteeship Council and secretariat,I,"I, II","I,II,III",All of the above,D,-
3,The name of Ronaldinho is associated with the game of,football,hockey,gymnastics,badminton,A,-
3,The range of missile Agni is approximately,150 km,1200-2000 km,500 m to 9 km,4 km,B,-
3,The process of revival of learning that swept across Europe in 15th and 16th centuries is called,feudalisam,crusade,renaissance,communism,C,-
1,The red blood cells are in the,heart,liver,lymph nodes,bone marrow,D,-
2,The revival work of the Olympic Games was undertaken by Baron Pierre deCoubertin after a lapse of 15 centuries. The first modern Games were held in 1896 at,Athens,London,Paris,St. Louis,A,-
2,The significance of the lotus symbol is,culture and civilisation,peace,justice,"sign of mourning, in protest",A,-
3,The number of judges is European Court of Human Rights are,5,11,21,15,C,-
2,The Roman governor and principal assassin in the murder of Julies Caesar was,Marcus Junius Brutus,Marco Polo,Leon Trotsky,Karl Markx,A,-
3,The term of office of the UN Secretary-General is,three years,four years,five years,six years,C,-
2,The Newspaper  Paravada is taken out in,London,Beijing,Jakarta,Moscow,D,-
1,The Olympic Symbol (Summer Games) comprises five rings or circles linked together to represent,the sporting friendship of all people,the five continents,both (a) and (b),None of the above,C,-
3,"The prize given to individuals fighting for freedom, independence and dignity of people is",Simon Bolivai Prize,Golden Bear Award,David Cohen Award,Owen Global Award,A,-
1,The SI unit of ___ is named after Andre Marie Ampere.,power,potential difference,electric current,energy,C,-
1,The national flag was adopted by the Constituent Assembly of India on,"August 15, 1947","July 22, 1947","January 26, 1950","January 2, 1950",B,-
1,The regional economic commissions of the Economic and social Council (UNO) are,ECE (Economic Commission of Europe) and ESCAP (Economic and Social Commission for Asia),ECLA (Economic Commission for Latin America) and ECA (Economic Commission for Africa),ECWA (Economic Commission for Western Asia) and ECLA,All of the above,D,-
3,The playground of baseball is known as,court,diamond,ring,pitch,B," A baseball field, also called a ball field or a baseball diamond, is the field upon which the game of baseball is played. The term is also used as a metonym for baseball park.
Source: https://en.wikipedia.org/wiki/Baseball_field "
1,The sacred text of Confucianism is,The Tripitaka,The Analects,Quran,no specific text,B,-
1,The state having maximum cities is,Uttar Pradesh,West Bengal,Madhya Pradesh,Kerala,A,-
2,"The National Convention framed the new Republican constitution of France in 1795, according to which","the executive authority of the state was vested in a committee of five directors, called the Directory",a bicameral legislature was established,both (a) and (b),None of the above,C,-
2,The Sports Authority of India is was registered as a society in,1982,1983,1984,1985,C,-
1,The playground of lawn tennis is called,court,ring,arena,rink,A,-
1,The NATO (North Atlantic Treaty Organisation) was established on,"April 4, 1949","September 1, 1966","December 12, 1990","January 20, 1950",A,-
1,The number of principal organs of the United Nation is,3,4,5,6,D,-
3,The Reliance Cup was earlier known by the name of,Benson and Hedges Cup,McDowell's Challenge Cup,Prudential Cup,Rothmans Cup,C,-
1,The Rh factor refers to,a protein substance found in the blood of some people,a hormone carried by the blood,the ratio of red corpuscles to white corpuscles in the blood,a process that speeds up the clothing of blood,A,-
3,The Reliance Cup is associated with,sea plane race (England),world badminton (women),badminton,cricket,D,-
1,The National Emblem was adopted by Government of India on,"January 26, 1950","August 15, 1947","August 2, 1950","July 12, 1947",A,-
1,The scientist who first discovered that the earth revolves round the sun was,Newton,Dalton,Copernicus,Einstein,C,-
3,"The number of sovereign countries who are members of the United Nations, is",180,182,183,191,D,-
3,The sacred place for Buddhists is,Lumbini (Nepal) where Buddha was born,Bodh Gaya (Bihar) where Buddha received enlightenment,Kusinagara (UP) where Buddha attained Nirvana,All of the above,D,-
3,The national museum is located at,Mumbai,Lucknow,New Delhi,Pune,C,-
3,The only Indian woman who become President of the World Health Organisation so far is/was,Smt. Kamala Devi Chattopadhyaya,Raj Kumari Amrit Kaur,Smt. Vijayalakshmi Pandit,Dr. Sushila Nayar,B,-
2,"The News Agency ""Associated Press"" is of",Indonesia,America,Bangladesh,China,B,-
3,The Olympic Flame was lit for the first time at the Amsterdam stadium in,1981,1928,1938,1948,B,-
2,The significance of peace is denoted by which of the following symbol?,Olive branch,Green light,Lotus,Red flag,A,-
2,The objective of India's space programme was,mass communication and education via satellite,survey and management of natural resources,development of indigenous satellites and satellite launch vehicles,All of the above,D,-
3,The number of permanent members of the UN Security Council is,3,4,5,6,C,-
2,"The Royal Swedish Academy of Sciences, awards the Nobel Prize in",physics,economics,chemistry,both (a) and (c),D,-
3,The prize winning title of Arundhati Roy for Booker's Prize in 1997 was,Amsterdam,The God of Small Things,Disgrace,Last Orders,B,-
2,The 'pulse' of the aquatic environment can be ascertained by measuring,nitrogen,oxygen,alkalinity,conductivity,B,-
1,The range of R.B.C to W.B.C in the human body is,15 : 500,10 : 500,5 : 500,1 : 500,D,-
3,The official language of the Government of India is,English,Malayalam,Hindi,Marathi,C,-
1,The number of chromosomes in human body is,42,44,46,48,C,-
2,The purest form of water can be obtained from,a deep tubewell,a running stream,a hot water spring,a heavy shower of rain,D,-
2,The Netaji Subhas National Institute of Sports is located at,Bangalore,Kolkata,Darjeeling,Patiala,D,-
3,"The Pilotless target aircraft, fabricated at the Aeronautical Development Establishment, Bangalore, is",Lakshya,Cheetah,Nishant,Arjun,A,-
2,"The National Sports Festival for women was, for the first time, organized in",1970,1975,1980,1985,B,-
3,The official working languages recognised by the UNO are,Chinese and English,French and Russian,Spanish and Arabic,All of the above,D," The six official languages of the United Nations are:

1. Arabic
2. Chinese (Mandarin)
3. English
4. French
5. Russian
6. Spanish "
2,The ozone layer restricts,visible light,infrared radiation,x-rays and gamma rays,ultraviolet radiation,D,-
1,The Secretary-General is required to submit an annual report on the work of the UN to,the General Assembly,the Security Council,the Trusteeship Council,All of the above simultaneously,A,-
3,The SLV-3 project provided India with the expertise to lop a larger and more sophisticated launch vehicle,PSLV,ASLV,GSLV,None of the above,B,-
3,"The site of the third oldest civilisation after the Sumerian and Egyption, Mohenjo-daro, was Built in",2500 BC,2500-2000 BC,2300 BC,2200 BC,A,-
3,UN General Assembly elects a President and how many Vice Presidents at the start of its each regular session?,Seven,Fifteen,Twenty one,Two,C,-
1,"The treaty which ushered in NATO, was signed by the member nations at",Geneva,London,Paris,Washington,D,-
2,The unit of current is,ohm,watt,ampere,None of the above,C,-
3,Thomas Cup is associated with,badminton,billiards,lawn tennis,table tennis,A,-
2,"Theory of Idealism was expounded by George Hegal, Bishop George and Berkeley According to this",mathli is an illusion and that the only reality that which exists mentally,good was pleasure and that evil was pain,"base of knowledge is sense-experience, that is, observations governed by scientific principles","all knowledge is derived from sensory experience, by observing and experimenting",A,-
2,To which country does the present UN Secretary-General belongs?,Ghana,South Korea,Spain,Sweden,B," The current Secretary-General is Ban Ki-moon of South Korea, who took office on 1 January 2007. His first term will expire on the 31st of December 2011, and he will be eligible for reappointment. "
1,Vitamin B12 is most useful for combating,anemia,goitre,night blindness,rickets,A,-
3,To prevent loss of weight plants reduce transpiration by,shedding of leaves,reducing the size of leaves,developing hair around stomata,All of the above,D,-
2,"The term which denotes that each side has made equal point at game point, in Tennis, is referred to as",baseline,deuce,fault,grand slam,B,-
2,The telescope is used for viewing,distant objects,near objects,small objects,living cells,A,-
2,The transport fleet of Air Force consists of,IL-765,Boeing-731,AN-352,All of the above,D,-
3,The term butterfly is associated with,kabaddi,swimming,boxing,wrestling,B,-
3,Venturi tube is used for,measuring intensity of earthquakes,measuring specific gravity,measuring density,measuring flow of a fluid,D,-
2,Uttar Pradesh is surrounded by ___ in north,Nepal,Uttrakhand,Haryana and Delhi,Rajasthan,B,-
1,The theory of utilitarianism was expounded by,Jeremy Bentham (1748-1836),James Mill(1773-1839),Henry Sidgwick (1838-1900),All of the above,D,-
2,The velocity of sound in air (under normal condition) is,30 m/sec,320 m/sec,343 m/sec,"3,320 m/sec",C,-
2,"The term used to describe a sudden fall of a government, brought about by illegal force is called",credit squeeze,loup de' etat,deficit financing,deflation,B,-
3,The term steeplechase is associated with which of the following sports?,Boxing,Chess,Rowing,Horse Racing,D,-
3,The total number of Judges of the International Court of Justice is,10,12,15,18,C,-
3,The velocity of light was first measured by,Einstein,Newton,Romer,Galileo,C,-
3,The trophies and cups awarded for cricket are,McDowell's Challenge cup and World cup,Federation cup,Moin-ud-Dowla cup and B. C. Gupta cup,None of the above,A,-
3,The third highest nation award given for distinguished service in any field is,Padma Vibhushan,Padma Bhushan,Padma Shri,Bharat Ratna,B,-
1,The term used in billiards are,"blocking, held ball, holding, jump ball, pivot","target, field, flight, ballsege","auxiliary point system, rabbit punch, break, cut","blank line, break, bolting, cannon, cue, hazard, in-oft",D,-
2,Vir Chakra (a medal) is made up of,bronze,gold gilt,standard silver,None of the above,C,-
3,"Triple antigen provides immunity to children against all of the following disease, except",diphtheria,polio,tetanus,whooping cough,B,-
3,Trans World Airlines is an International Airline of,United Kingdom,United States of America,Russia,Scandinavia,B,-
1,The third crusade was led by,Richard I of England,Fredrick Barbarossa of Germany,Philip II of France,All of the above,D,-
1,Walt Disney was,the President of America during World War I,the creator of cartoon films starring popular cartoon characters Mickey Mouse and Donald Duck,the British physician known for his discovery of Addison's disease,None of the above,B,-
2,"To consider the large number of agenda items, General Assembly has how many main committees?",Five,Seven,Nine,Fifteen,B,-
2,"Until December 1991 ____ were integral parts of the USSR & not independent countries, but had separate UN memberships.",Belarus and Ukraine,Czech Republic and Slovakia,Tonga and Nauru,None of the above,A,-
3,Weight of an object put in a satellite orbiting in space around the earth is,the same as on the earth,slightly more than that on the earth,less than that on the earth,reduced to zero,D,-
1,To which country did the first Secretary-General of the UN belong?,Austria,Sweden,Burma,Norway,D,-
2,War of the Roses was,civil war in England,religious-cum-political war between the Lutherans Catholics in Germany,war between Syrian and Roman forces,None of the above,A,-
2,"The three abundant elements in the earth's crust are aluminium, oxygen and silicon. The correct order of their abundance is","oxygen, aluminium, silicon","aluminium, silicon, oxygen","oxygen, silicon, aluminium","silicon, oxygen, aluminium",C, Oxygen (46.60%) Silicon (27.72%) Aluminium (8.13%) 
1,The world's largest international organisation and a successor to the League of Nations is,UNESCO,UNO,UNICEF,None of the above,B,-
1,Tomb of Vasco-da-Gama is situated at,Chittorgarh (Rajasthan),Kochi (Kerala),Coimbatore (Tamil Nadu),Durgapur (West Bengal),B,-
2,UNO Day is on,20th July,24th October,14th November,12th February,B,-
3,To which of the following country Olympic Airways belong?,France,Greece,Hong Kong,Indonesia,B,-
3,Velocity of wind is measured by,speedometer,tachometer,anemometer,audiometer,C,-
3,The term used to describe money that flows into a country to take advantage of high rates of interest is called,hot money,hard sector,hard currency,None of the above,A,-
2,Todar Mal was,revenue minister in the court of Akbar,one of the nine gems in the court of Akbar,known for his reforms in policies of land revenue during Akbar's reign,All of the above,D,-
3,The unit of energy in MKS system is,volt,erg,ohm,joule,D,-
3,Tiruchirapalli is situated on river,Cauvery,Tapti,Krishna,Ganga,A,-
3,The XV Asian Games are scheduled to be held at,Qatar,Hiroshima,Beijing,Jakarta,A,-
1,The term cover point in cricket means,"the position given by the bowler to the fielder on the offside, in front of a wicket",if the ball goes off the batsman's leg,an off-break ball bowled by a left-handed bowler to a right-handed batsman,None of the above,A,-
1,"The term which refers to the total amount of sales made by a firm in one year or the total amount of money changing hands in business, is",trade gap,turnover,reserves,referendum,B,-
1,Treaty of Versailles rearranged the boundaries of several countries in Europe and many countries were formed such as,Poland and Yugoslavia,Lithuania and Estonia,both (a) and (b),None of the above,C,-
1,The tribe residing in Meghalaya is,Garos,Khas,Kol,Murias,A,-
1,The UN charter was finalized at ___ and become effective on ___ .,"San Francisco, 24th October, 1945","Dumbarton Oaks, 5th March, 1944","Yalta, 2nd February, 1945","Teheran, 24th October, 1943",A," The Charter of the United Nations was signed on 26 June 1945, in San Francisco, at the conclusion of the United Nations Conference on International Organization, and came into force on 24 October 1945. The Statute of the International Court of Justice is an integral part of the Charter. "
1,The total number of members of UN Security Council is,5,10,15,20,C,-
1,"Unofficial, and usually illegal, system of providing people with more then their share of goods and services where their prices are controlled, is called",black money,blue chip,black market,black economy,C,-
1,"Under which article in 1968, the number of votes required in the Security Council to convene a general conference to review the charter was increased from seven to nine?",Article 81,Article 98,Article 109,Article 115,C,-
3,The term Ground Stroke is associated with which of the following games?,Cricket,Badminton,Tennis,Draughts,C,-
2,"The type of root system of all of the following is tap root system, except that of",mango tree,kachnar tree,sunflower plant,maize plant,D,-
1,To which of the following countries does the news agency Cetreko belong?,Czechoslovakia,Indonesia,France,USA,A,-
1,To produce sound it is necessary that,the source should execute longitudinal vibrations,the source should execute transverse vibrations,the source may execute any type of vibrations,the vibrations of source are not necessary,C,-
2,The UN library is known by the name of,Nation's library,U Thant library,Hammarskjoeld library,Trygve Lie library,C,-
1,The theory of inheritance of acquired character was propounded by,Charles Darwin,Gregor Mendel,J.B. Lamarck,Weismann,C,-
2,Water is a good solvent of ionic salts because,it has a high boiling point,it has  a high dipole moment,it has a high specific heat,it has no colour,B,-
1,Vijayalakshmi Pandit was,the first women minister of an Indian state (UP),the first women to become president of the UN General Assembly,the first Indian women Ambassador to Moscow,All of the above,D,-
1,The Territorial Army was established in,1962,1948,1920,1953,B,-
2,Tiger Woods is associated with which of the following sports?,Table tennis,Tennis,Golf,Boxing,C,-
3,The UN charter was ratified in 1945 by,25 nations,29 nations,33 nations,37 nations,B,-
1,"Uttaranchal has international boundary with ____  in north, north-east and eastern side.",China,Nepal,both (a) and (b),None of the above,C,-
2,The trophy know by the name of Grand Prix is associated with,table tennis,lawn tennis,table tennis and lawn tennis,"table tennis, lawn tennis and shooting",D,-
3,Value Added Tax (VAT) is,"indirect tax levied at each stage of production and distribution, from the primary produce to the retailer","tax calculated on the selling price, but in declaring the liability to the government, the seller is allowed to deduct any tax paid by him when he bought the goods",both (a) and (b),None of the above,C,-
1,Tripura is surrounded by ____ in the east,Assam,Mizoram,both (a) and (b),Bangladesh,C,-
3,The trophy given for exemplary conduct displayed by an athlete during the Olympic games is,Mohammad Toher Trophy,Count Alberto Bonacossa Trophy,Tokyo Trophy,None of the above,C,-
1,Toxin is a poisonous substance produce by,some higher plants,certain animals,pathogenic bacteria,All of the above,D,-
3,Vedanthangal Bird Sanctuary at Tamil Nadu has reserves of,"wild ass, wolf, nilgai, chinkara",important bird sanctuary,"pantha, chital, sloth bear, wolf","elephant, deer, wild boar, crocodile, crangetic dolphin",B,-
2,The term of office of a Judge of the International Court of Justice is,five years,six years,nine years,ten years,C,-
1,"UNESCO (United Nations Education, Scientific and Cultural Organisation) was established in",1919,1957,1945,1946,D,-
2,The Treaty of Versailles was signed in,1917,1918,1919,1920,C,-
2,The temporary suspension of hostilities by mutual consent in order to stout a peace negotiation is called,arbitration,asylum,armistice,apartheid,C,-
3,The UN Flag is made up of,the white UN Emblem is super-imposed on a light blue background,the red UN Emblem is super-imposed on white background,the light blue UN Emblem is super-imposed on white background,None of the above,A,-
2,"The term used when a member of a legislature leaves his party on whose ticket he was elected to join the ruling party or the opposition, is called",floor crossing,fourth estate,fifth column,free ports,A,-
3,The term hit wicket in cricket refers to,when the bowler bowls out three batsman with three successive balls,when the batsman intercepts the ball with his leg or any part of his body between the wicket,"when the batsman, while hitting the ball, strikes his own wicket with his bat or body and is declared out",None of the above,C,-
3,"Under article 61 of the UN Charter, the membership of the Economic and Social Council was which of the following years from 27 to 54?",1963,1973,1978,1983,B,-
3,"WTO, (World Trade Organization), WHO, (World Health Organization) and IDA (International Development Association) are ___ of General Assembly (UNO).",principal organs,other United Nations Organs,specialized agencies and other autonomous organization,they are independent agencies and not a part of UNO,C,-
3,Vitamin B12 is most useful for combating,anemia,goitre,night blindness,rickets,A,-
2,To prevent loss of weight plants reduce transpiration by,shedding of leaves,reducing the size of leaves,developing hair around stomata,All of the above,D,-
2,"The term which denotes that each side has made equal point at game point, in Tennis, is referred to as",baseline,deuce,fault,grand slam,B,-
1,The telescope is used for viewing,distant objects,near objects,small objects,living cells,A,-
3,The transport fleet of Air Force consists of,IL-765,Boeing-731,AN-352,All of the above,D,-
1,The term butterfly is associated with,kabaddi,swimming,boxing,wrestling,B,-
3,When light passes from air into glass it experiences change of,frequency and wavelength,frequency and speed,wavelength and speed,"frequency, wavelength and speed",C,-
2,When is the World's Diabetes Day?,14th November,11th December,15th October,1st July,A,-
2,When did Margaret Thatcher became the first women Prime Minister of Britain?,1998,1989,1979,1800,C,-
2,When is the International Workers' Day?,15th April,12th December,1st May,1st August,C,-
3,What is the population density of Madhya Pradesh?,202/sq. km,196/sq. km,116/sq. km,68/sq. km,B,-
1,"When a moving bus stops suddenly, the passenger are pushed forward because of the",friction between the earth and the bus,friction between the passengers and the earth,inertia of the passengers,inertia of the bus,C,-
2,What is the literacy rate of Himachal Pradesh?,68.59 per cent,77.13 per cent,22.63 per cent,54.40 per cent,B,-
3,"When the batsman, in cricket, is out without scoring a single run, is called",drive,duck,flight,googly,B,-
3,What is the literacy rate of Maharashtra?,77.27 per cent,66.26 per cent,55.25 per cent,44.24 per cent,A,-
2,What is Magna Carta?,It was a charter of Rights granted to the Englishmen during 1215 AD by King John II,"It was a charter guaranteeing the freedom of the barons, the church and the common man",It is the foundation stone of the rights and liberties of the English people,All of the above,D,-
2,When does Russia celebrates its Independence Day?,14th November,8th October,9th August,12th June,D,-
1,What is the language mostly used in Madhya Pradesh?,Hindi,Marathi,English,Malayalam,A,-
1,When and where was hockey introduced for women in Olympics?,1908 at London,1980 at Moscow,1936 at Berlin,1924 at Paris,B,-
1,When is the Haryana Day?,September 1,October 1,November 1,December 1,C,-
2,When did Afghanistan ends monarchy and became a republic?,1949,1973,1965,2000,B,-
1,When and where was tennis introduced in the Asian Games?,In 1958 at Tokyo,In 1962 at Jakarta,In 1966 at Bangkok,In 1974 at Teheran,A,-
2,When the Aryans advanced towards India reaching the Ganges and the Yamuna rivers? It was the time of rise of Ganges Civilization.,2200 BC,1200 BC,2000 BC,1500 BC,D,-
3,Zakir Hussain was,the third President of India,India's second vice President,both (a) and (b),None of the above,C,-
