Difficulty Level,Question,Option A,Option B,Option C,Option D,Correct Answer,Description,
3,A beam of light used to record and retrieve data on optical disks is known as,polarized light,unpolarized concentric light,laser,coloured light,C,-,
2,Punched-card equipment was first introduced in Britain in 1904 by a small company. What was the name of that company?,The Tabulator Ltd.,Tabulator Machine Company,International Business Machines (IBM),Accounting & Tabulating Corpn. of Great Britain,A,-,
3,The computer translates the condition of each switch to a number. What number is represented by the ON state?,7,3.75,1,0,C,-,
2,A disk with usable recording surfaces on each side is known as,Hard disk,Single-sided disk,Double-sided disk,High capacity,C,-,
3,What is a portion of memory that serves as a temporary repository for data as it waits for a given action?,Memory Pool,Cache,Processor,Processor pool,B,-,
1,"In serial, asynchronous transmissions, the ____ bit is used to signal the end of the character within the data frame.",start,stop,parity,data,B,-,
2,Which is the acronym for Algol extended for design.,AFIPS,ADP,AED,CAI,C,-,
3,Which of the following are often used to ensure that data has been accurately input to the computer?,digitizers,light pens,keyboards,input controls,D,-,
1,An input device that converts data punched into paper lape into a binary format is,Page reader,Paper tape punch,Paper tape reader,Card punch,C,-,
2,A computer will function only if it,has a control unit,is given input data,has a program in its memory,has software package,C,-,
3,A memory in which the information is stored last is on top & is retrieved first is known as,PROM,Buffer,Stack,RAM,C,-,
3,"Regarding a VDU, which statement is more correct?",It is an output device,It is an input device,It is a peripheral device,It is a hardware item,C,-,
1,Plotter accuracy is measured in terms of repeatability and,buffer size,resolution,vertical dimension,intelligence,B,-,
2,The minimum time delay required between the initiation of two successive memory operations is known as,memory cycle time,memory access time,transmission time,waiting time,A,-,
3,Which of the following terms describe 1024 kilobytes?,Kilobyte,Megabyte,Gigabyte,Terabyte,B,-,
3,The flow and timing to data to and from the microprocessor is regulated by,control pins,address pins,data pins,power pins,A,-,
3,The total number of messages handled by a computerized telephone system on a daily basis is an example of:,Frequency,Updating,Volume,All of the above,C,-,
2,An internal storage consisting of arrays of small rings of magnetic material called ferrite is,Magnetic tape,Magnetic core,Magnetic disk,Optical mark reader,B,-,
1,"In the language of the computer profession, one thousand position of main storage is represented with the letter",K,L,M,C,A,-,
3,"Which of the following processor is software that accepts user ideas, manipulates and reorganises them in user-specified ways and then produces a refined model of those thoughts.",Distribute,Out-line,Multi,On-line,B,-,
1,The word 'Computer' usually refers to the Central Processor Unit plus,External memory,Internal memory,Input devices,Output devices,B,-,
3,The control of the jobs running within a system is,Job monitoring,Job stream,Job min,Job step,A,-,
1,Communication using a modulated carrier to apply a data signal to a transmission medium in analog form is,Local area network,Modem,Base band networking,Broad band networking,D,-,
3,'ITS' stands for,Intelligent Teaching Systems,International Tutoring Systems,Intelligent Tutoring Systems,All of the above,C,-,
2,The most popular language for interactive use is,COBOL,PASCAL,BASIC,FORTRAN,C,-,
2,An error in computer data is called,Chip,Bug,CPU,Storage devices,B,-,
1,Any piece of equipment forming an interface to a data communication system is,DTE,DTA,CSA,DCA,B,-,
2,"In which of the following, each data item contains at most 2 points",List structure,LISP,List sorting,List head,B,-,
2,An input/output device at which data enters or leaves a computer system is,Keyboard,Terminal,Printer,Plotter,B,-,
1,The fastest type of memory from the following list is,tape,semiconductor memory,disk,bubble memory,B,-,
3,Which of the following is a secondary memory device?,Keyboard,Disk,ALU,All of the above,B,-,
3,The register which keeps track of the execution of a program and which contains the memory address of the instruction currently being executed is known as,Index register,Memory address register,Program counter,Instruction register,C,-,
1,What is the name of the chip which has more than once processor on it?,Parallel chip,Multi-processor chip,Transputer,Parallel processor,C,-,
2,Which of the following is a set of general purpose internal registers?,stack,scratch pad,accumulator,status register,B,-,
3,A family of polynomial block codes designed to correct burst errors is known as,Bar codes,Gray codes,Fire codes,mnemonics codes,C,-,
3,"To produce high-quality graphics (hardcopy) in color, you would want to use a(n)",RGB monitor,plotter,ink-jet printer,laser printer,B,-,
1,The computer code for the interchange of information between terminals is,ASCII,BCD,EBCDIC,All of the above,A,-,
1,The input and output devices are located away from the central computer facility in which particular type of processing.,Time sharing,Batch processing,Interactive mode,Real time processing,B,-,
3,Which is a swapping device is used to hold the images of pages in main memory.,Plex,Paging drum,Card punch,Optical mark reader,B,-,
1,A section of code that may only be executed by one process at any one time is,CPM,Critical resource,Critical region,Gray code,C,-,
2,The latest PC keyboards use a circuit that senses the movement by the change in its capacitance. What are these keyboards called?,Capacitance keyboards,Mechanical keyboards,Qwerty keyboards,Dvorak keyboards,A,-,
1,A step-by-step procedure used to solve a problem is called,Operating system,Algorithm,Application program,All of the above,B,-,
2,Which memory is nonvolatile and may be written only once?,RAM,EE-ROM,RAM,PROM,D,-,
1,A random-access data storage device which gives rapid access to data is,Magnetic tape,Punched card,Disk storage unit,Buffer,C,-,
3,A card on the top of pack of cards containing information about the cards in the pack is,Punched card,Card punch,Reader card,Punched paper tape,C,-,
3,Which term is used to describe RAM?,Dynamic RAM (DRAM),Static RAM (SRAM),Video RAM (VRAM),All of the above,D,-,
1,A type of core store that has a lower access time than the devices used for working store in the same processor is known as,core memory,buffer,fast core,address register,C,-,
3,What is the alternative name for a diskette?,Floppy disk,Hard disk,Flexible disk,Winchester disk,A,-,
2,Conversion of a hexadecimal number 4E16 to binary number is,10011012,10011102,11011002,1101112,B,-,
1,A device that transmits messages in verbal form is,Audit trail,Card punch,Audio response unit,Magnetic tape,C,-,
1,A standard tape recorder used to save or load computer information is known as,Magnetic tape,Cassette drive,Punched paper tape,Card punch,B,-,
3,Which of the following functional components of a computer is responsible for the transient or temporary storage used by the CPU?,Input,Output,CPU            .,Memory,D,-,
3,The output quality of a printer is measured by,Dots per inch,Dots per line,Dots printed per unit time,All of the above,A, DPI is used to describe the resolution number of dots per inch in a digital print and the printing resolution of a hard copy print dot gain, the increase in the size of the halftone dots during printing. This is caused by the spreading of ink on the surface of the media. 
2,A device that converts one type of signal into another is called,Modem,Transducer,Punched paper tape,Punched card,B,-,
3,Which method is of reading the characters & providing input to a computer.,Optical character reader,Punched paper tape,Card punch,Magnetic ink character,A,-,
2,Which facilitates data processing capabilities at the location of the end-user.,DTP,EDT,DDP,FAX,C,-,
1,The memory which is programmed at the time it is manufactured,ROM,RAM,PROM,EPROM,A,-,
1,When was the world's first laptop computer introduced in the market and by whom?,"Hewlett-Packard, 1980","Epson, 1981","Laplink Travelling Software Inc, 1982.","Tandy Model-200, 1985",B,-,
3,Example of non-numerical data is,Employee address,Examination score,Bank balance,All of the above,A,-,
3,Which selection below best describes the term data processing?,The collection of information or data,The distribution of information or data,The manipulation of information or data,The storage of information or data,C,-,
3,"A device that both transmits and receives data, is",Transducer,Trapdoor,Translator,Transceiver,D,-,
1,An automatic machine that performs routine seemingly human tasks is,KIPS,AI,PL,Robot,D,-,
1,IBM 7000 digital computer,belongs to second generation,uses VLSI,employs semi conductor memory,has modular construction,D,-,
3,The IC was invented at Texas instruments in year 1958 by,Jaik Kilby,Clive Sinclair,John Napier,Steve Wozniak,A,-,
2,The personnel which deal with the computer and its management put together is known as,Firm ware,Human ware,Software,Hardware,B,-,
2,A path linking 2 hardware or telecommunication units down which data and control signals can be transmitted is,Modulation,Demodulation,Channel,Signalling,C,-,
2,The unit of hardware an operator uses to monitor computer processing is the:,Card reader,CPU,Line printer,Console,D,-,
2,A framework in which circuit boards can he mounted is,Switch circuit,Chip,Card cage,Bar code,C,-,
1,"What is the minimum number of operations required, for a microprocessor with 8 data pins, to read a 32-bit word?",1,2,4,8,C,-,
1,The main purpose of the off line device is,To  reduce  the  no.of operator errors in recording data,To save computer time,To   save   floor   space   in   the computer centre,All of the above,B,-,
3,The accuracy of the floating point numbers representable in two 16 bit words of a computer is approximately,16 digits,6 digits,4 digits,All of the above,B,-,
2,Which of the following is a special purpose language used to describe to a computer's operating system.,LOGO,APL,ICL,CORAL,C,-,
2,Which of the following languages is the most widely used?,PL/1,BASIC,FORTRAN,PASCAL,C,-,
1,How many addresses are required for 25 x 40 video RAM?,2000,1920,1000,2000,C,-,
2,Which of the following isn't a type of computer facility?,decentralized,centralized,de-distributed,distributed,C,-,
2,Which protocol has been standardised by the International Standards Organisation.,ISAM,ISO,LISP,CALL,B,-,
1,Which of the following is the largest and most powerful computer manufacture in the world,IBM,Intel,Novel,Microsoft,A,-,
2,Which 8-bit chip was used in many of Tandy's TRS-80 computers?,Z-8000,Motorola 6809,Z-8088,Z-80,D,-,
2,Conversion of binary number 1011102 to octal is,358,468,568,508,C,-,
3,A symbol that modifies an action is known as,Compiler,Modifier,Interpreter,Mod,B,-,
3,The first computer used to store a program,EDSAC,ENIAC,EDVAC,ACE,A,-,
3,RAM is also known as,Read-only memory,Programmable read-only memory,Read/Write memory,Erasable programmable read-only memory,C,-,
1,Which of the following statements is false?,Secondary storage is nonvolatile,Primary storage is volatile,Secondary storage contains data for immediate processing,"When the computer is turned off, data and instructions stored in primary storage are erased",C,-,
1,Hardware _____ memory is seldom used in modern computers.,ROM,RAM,LIFO,PROM,C,-,
3,Which language was created by Charles H. Moore at National Radio Astronomy Observatory.,BASIC,FORTH,dBASE,COBOL,B,-,
2,An IC contains 50 gates each of which consists of 6 components. Its belong to,VLSI,LSI,MSI,SSI,C,-,
2,Which gate only sends one through if neither of its terminals receives a pulse.,NOT,NOR,OR,NAND,B,-,
1,Which memory is nonvolatile and may be written only once?,RAM,EE-ROM,RAM,PROM,D,-,
1,A random-access data storage device which gives rapid access to data is,Magnetic tape,Punched card,Disk storage unit,Buffer,C,-,
1,A card on the top of pack of cards containing information about the cards in the pack is,Punched card,Card punch,Reader card,Punched paper tape,C,-,
3,Which term is used to describe RAM?,Dynamic RAM (DRAM),Static RAM (SRAM),Video RAM (VRAM),All of the above,D,-,
2,A type of core store that has a lower access time than the devices used for working store in the same processor is known as,core memory,buffer,fast core,address register,C,-,
1,"Which is a basic technique, using activity networks.",CPA,VLSI,GIGO,MSI,A,-,
1,A large computer designed to handle complex scientific calculations,may use only a firmed word-length storage approach,will likely require a character addressable storage unit,must use fixed length words of four character each,will not use numbered address locations,A,-,
1,The 7-bit ASCII code widely used,For data communication work,In IBM mainframe models,For coding external memory,In large machines produced by non-IBM vendors,A,-,
3,"A technique for processing jobs on a first-come, first-served basis is known as",FAX,FIFO,GIGO cable,Optical mark reader,B,-,
3,"A device mounted on a communication satellite which receives, amplifies and re-transmits signals from earth station is",Track,Transponder,Transistor,Terminal,B,-,
3,Which of the following languages is often translated to pseudo code?,Assembly,FORTRAN,PASCAL,BASIC,C,-,
3,The physical components of a computer system is,Human ware,Firm ware,Hardware,Software,C,-,
2,"Processors of all computers, whether micro, mini or mainframe must have",ALU,Primary storage,Control Unit,All of the above,D,-,
2,A device used to bring information into a computer is,ALU,Input device,Control unit,Output device,B,-,
2,The pieces of equipment which are attached to the CPU of a computer and which it can access are called,output devices,control units,hardware,peripherals,D,-,
3,What type of memory is not directly addressable by the CPU and requires special software called EMS (expanded memory specification)?,Extended,Expanded,Base,Conventional,B,-,
2,Number cruncher is the informal name for,Mini computer,Super computer,Micro computer,Mainframe computer,B,-,
1,Magnetic tape can serve as,Input media,Output media,Secondary storage media,All of the above,D,-,
3,Which is the first compiler-level language developed by a team of IBM programmers led by John Backus and unveiled in 1957?,BASIC,PL/1,FORTRAN,APL,C,-,
1,The first mechanical calculator was invented in,1958,1647,1658,1972,B,-,
3,Programmed instructions to the computer is known as,Data,Code,Documentation,Database,B,-,
3,Which of the following is also known as SOROBAN,ENIAC,Abacus,EDSAC,UNIVAC,B,-,
2,"A repository for data, usually covering specific topic is",Database,Data requisition,Databank,Data collection,C,-,
2,The disadvantage of dynamic RAM over static RAM is,higher power consumption,variable speed,need to refresh the capacitor charge every once in two milliseconds,higher bit density,C,-,
2,Which  of the  following  is  true concerning personal computers?,They decrease the demand for mainframe computers,They have been most successful in the home,The electronic spreadsheet has been a primary reason for their popularity,Their future is not so bright owning to the improved cost-performance ratio of minis and mainframes,C,-,
2,"Which of the following machines are characterised by electronic tube circuitry, delay line, rotating or electrostatic memory.",First generation,Fifth generation,Third generation,Second generation,A,-,
3,A memory that is capable of determining whether a given datum is contained in one of its addresses is,ROM,PROM,CAM,RAM,C,-,
3,The smallest logical data entity is called a data item or data,Base,Field,Bank,Collection,B,-,
2,Conversion of a hexadecimal number 3D16 to binary number is,1111012,1100112,110001102,1100012,A,-,
1,Programs prepared by an outside supplier & privided to a user in a machine readable form is known as,Utility program,Canned program,Application program,Application software,B,-,
3,An input device that uses switch contacts placed under a plastic pad which may be inscribed with symbols is known as,Punched card,Touch pad,Punched paper tape,Magnetic disk,B,-,
1,"Pictures or drawings, typically displayed on a VDU to allow users to select program options is called",HIPO charts,Icons,Graphics,Network,B,-,
3,A monitor looks like a TV set but it does not,Receive TV signals,Give a clear picture,Give a steady picture,Display graphics,A,-,
2,The earliest device that qualifies as a digital computer is,EDSAC,Abacus,ENIAC,EDVAC,B,-,
1,One million bytes of information is abbreviated as,Bit,MB,KB,GB,B,-,
1,Which memory stores the values of variables.,SAM,ROM,RAM,PROM,C,-,
1,The first IBM PC did not have any,disk drive,RAM,ROM,Port,A,-,
2,Which device uses much less computer time than the light pen and gives resolutions equal to that of the CRT display.,Mouse,Touch tablet,Touch panel,Data tablet,D,-,
2,The process used to set up a programs once the system is operational is,Operating system,Black bon,Boot strap,Utility,C,-,
2,A terminal having local processing capability is,KIPS,AI,Intelligent terminal,Optical terminal,C,-,
3,"The _____ provides a path between the CPU and peripheral devices, which are connected via interface cards.",computer,expansion bus,memory,CPU,B,-,
3,Which of the following programs give instructions about operations inside the computer,System software,Application,Utility id)  Compiler,None of the above,A,-,
1,The magnetic disks and drums are like recirculating shift registers because,they have about the same storage capacity,their storage is non volatile,their access times are about the same,stored data is available for reading over and over again in the same order.,D,-,
2,Which of the following time will normally be determined by the requirements of the device to which the transfer is being made,Access,Cycle,Hold,Delay,C,-,
1,One of a class of storage devices that can access storage locations in any order is,DTE,DASD,DDE,DDC,B,-,
3,A hand-held device which reads marks or characters on paper by detecting photo-sensitivity is known as,Light pen,Optical-wand,Plotter,All of the above,B,-,
1,Tiny rings made of magnetic material that can be polarised to represent binary 1 or 0 is called,Magnetic core,Magnetic disk,Card punch,Floppy disk,A,-,
1,A computer program that instructs other programs to perform a particular type of operation is,System software,Application program,Compiler,Interpreter,A,-,
3,A hard copy would be prepared on a,Line printer,Dot matrix printer,Type writer terminal,All of the above,D,-,
3,Which was the world's first minicomputer and when was it introduced?,"PDP-1, 1958","1MB System/36, 1960",PDP-11 1961,"VAX 11/780, 1962",A,-,
3,What is the acronym for Single In-Line Memory Module?,SIMM,SILMM,SM,SMM,A,-,
2,A device used to measure the circuit density of a chip is,Light pen,Mouse,LSI,All of the above,C,-,
3,Which type of processing that produces output results immediately after input data are entered into a computer system,Time-sharing,Interactive,Batch processing,Real-time processing,B,-,
2,A printer in which the characters are embossed on a band is,Dot-matrix,Laser,Golf-ball,Chain,D,-,
2,Which of the following languages is often translated to pseudo code?,Assembly,FORTRAN,PASCAL,BASIC,C,-,
2,The physical components of a computer system is,Human ware,Firm ware,Hardware,Software,C,-,
3,"Processors of all computers, whether micro, mini or mainframe must have",ALU,Primary storage,Control Unit,All of the above,D,-,
2,A device used to bring information into a computer is,ALU,Input device,Control unit,Output device,B,-,
3,A type of simulation method using random numbers to determine the evolution of a system is,Model dispersion,Monte carlo,Monadic,Padding,B,-,
2,A database management system based on the concept of ownership is,Network topology,Network layer,Network database system,Network license system,C,-,
2,"Which of the following printers, are you sure will not to use if your objective is to print on multicarbon forms?",daisy wheel,dot-matrix,laser,thimble,C,-,
1,The term MIPS refers to _____,millions    of   instructions    per second,multiple instructions per second,megabytes of instructions per seconds,millions input processor set,A,-,
3,The primary memory of a personal computer consists of:,ROM only,RAM only,Both ROM and RAM,Memory module,C,-,
1,A software package to implement a data base is,System analysis,DBMS,Database,DASD,B,-,
2,Methods used to organise and physically store disk data are cylinder and,Sector,Surface,Track,Hib,A,-,
1,A dot-matrix printer,is an input device,is an output device,cannot print alphabet,has a speed of 1000 cps,B,-,
3,What was the name of the first commercially available micro¬processor chip?,Intel 8008,Intel 8080,Intel 4004,Motorola 6809,C,-,
2,"The term ""memory"" applies to which one of the following",Logic,Storage,Control,Input device,B,-,
1,The working principles of today's computers were provided by an English mathematician,Charles Babbage,Dr. Hollerith,Donald Reach,Ken Reider,A,-,
1,A new technology which provides the ability to create an artificial world and have people interact with it is called,televirtuality,virtual reality,alternative reality,3-D reality,B,-,
3,The proper definition of a modern digital computer is,an electronic automated machine that can solve problems involving words and numbers,a more sophisticated and modified electronic pocket calculator,any machine that can perform mathematical operations         ',a machine that works on binary code,A,-,
3,Data systems for planning are often called,decision analysis systems,planning analysis systems,decision support systems,All of the above,C,-,
2,Which of the following is not used as secondary storage,Semiconductor memory,Magnetic disks,Magnetic drums,Magnetic tapes,A,-,
2,"A device that can accept data, hold them&deliver them on demand at a later time is known as",Buffer,Memory,CPU,Register,B,-,
3,A magnetic tape volume that is used on a data processing operation without any change to its contents is,Magnetic disk,Punched paper tape,Master tape,Card reader,C,-,
3,An output device that converts data from a binary format in main storage to coded hole patterns punched into a paper tape is,Paper tape punch,Punched paper tape,Magnetic disk,Magnetic tape.,A,-,
3,"A computer performs operations by comparing data items and then, depending on the results, follows predetermined course of action. What are such operations called?",Sequential,Logical,Digital,Physical,B,-,
1,A file that includes an index directory to facilitate random access is,Sequential file,Indexed file,Random file,Serial file,B,-,
1,The data bus in 8080A/8085 microprocessor is a group of,eight bidirectional lines that are used to transfer 8 bits between the microprocessor and its I/O and memory,sixteen bidirectional lines that are used for data transfer between the microprocessor and memory,eight unidirectional lines that are used for I/O devices,eight lines used to transfer data among the registers,A,-,
2,Control of computer system or subsystem operation by an operator who may intervene at arbitrary times is,Manual control,Mapping,Shift register,ALU,A,-,
1,"In which of the following terminals the screen is regarded as an array of pixels, where each pixel is either on or off?",Character map terminal,Bit map terminal,RS-232 C terminal,All of the above,B,-,
1,"Which language has been selected as the basis for the Japanese ""fifth generation"" computers.",ALGOL,COBOL,PROLOG,C,C,-,
1,A notation for defining the form and structure of data is known as,Data description language,Binary language,Data channel,Data definition language,D,-,
1,The CPU is made up of control unit ALU and,Memory,Input-Output,Register unit,All of the above,A,-,
2,"In digital computer, all the expressions are coded into",Octal digits,Binary digits,Hexadecimal digits,Decimal cligits,B,-,
1,In computer terminology a compiler means,a person who computes source programs,the same thing as a programmer,key punch operator,a program which translates source program into object program,D,-,
1,Which part of computer performs functions similar to the cerebrums of the above cardiac and nervous system of a human body.,ALU,Input device,CPU,Control unit,C,-,
2,A storage area used to store data to compensate for the difference in speed at which the different units can handle data is,Memory,Buffer,Accumulator,Address,B,-,
1,A memory that contains a fine pattern of data permanently defined is,RAM,EPROM,ROM,PROM,C,-,
1,What is the number of bits needed for an address in a 4 K memory?,16,8,12,4,C,-,
2,Conversion of an octal number 1068 to binary number is,11100102,10001102,11001102,100001102,B,-,
1,"The physical equipment made oi various metals, silicon and plastic components that make up the parts of a computer is called",micro,peripheral,hardware,disk drive,C,-,
2,Who launched IBM's First PC in 1981?,Dean Cline,C.B. Rogers Jr.,John F. Akers,David Svenson,B,-,
2,Memories in which any location can be reached in a fixed (and short) amount of time after specifying its address is called,sequential-access memory,random-access memory,secondary memory,mass storage,B,-,
3,How many operations per second can perform by a modern fast mainframe digital computer.,1000,100000,"10,00,000","1,00,00,00,000",D,-,
1,"A connection between two end points, either physical or logical, over which data may travel in both directions simultaneously is called _____",Dump point,Datalink,Duplex,Networks,C,-,
3,"Which is part of a computer system, enables human operators to communicate with the computer.",Console,Keyboard,Printer,CPU,A,-,
3,Who invented the microprocessor?,Marcian E Hoff,Herman H Goldstein,Joseph Jacquard,All of the above,A,-,
3,"Sending data from one place to another, by physical or electronic means is",E-mail,Internet,Data transmission,Distributed processing.,C,-,
1,A method for representing digital data analog signals by changing the phase of the analog carrier to represent the digital information is known as,PIA,PSK,PM,PM,B,-,
1,A device that stores one item of information is,Memory element,Block Compaction,MDR,Memory guard,A,-,
3,MODULA is a,Programming language,Low-level language,Assembly language,Machine language,A,-,
3,A register in which of the following that holds the current instruction while it is being executed is called instruction register.,ALU,CPU,Memory,Address,B,-,
3,The OCR stand for?,Outsized character reader,Optical character recognition,Operational character reader,Only character reader,B,-,
2,"Which of the following is a data communication link that connects more than two stations, nodes etc",Multipoint connection,Multipoint line,Multiple chain,Multilinked,B,-,
2,The two basic types of record-access methods are:,sequential and random,sequential and indexed,direct and immediate,on-line and realtime,A,-,
1,Which functional component of a computer is responsible for the computing?,Input,Output,CPU,Memory,C,-,
1,Punched cards are associated with the name,Leibniz,Jacquard,Hollerith,Pascal,C,-,
2,A software package to implement a data base is,System analysis,DBMS,Database,DASD,B,-,
3,Methods used to organise and physically store disk data are cylinder and,Sector,Surface,Track,Hib,A,-,
3,A dot-matrix printer,is an input device,is an output device,cannot print alphabet,has a speed of 1000 cps,B,-,
3,What was the name of the first commercially available micro¬processor chip?,Intel 8008,Intel 8080,Intel 4004,Motorola 6809,C,-,
1,"The term ""memory"" applies to which one of the following",Logic,Storage,Control,Input device,B,-,
1,The light pen was developed in,1942,1976,1950,1992,C,-,
2,The two main components of the CPU is,Control unit and registers,Control unit and ALU,Registers and main memory,ALU and bus,B,-,
2,A factor which might cause an individual to consider using a computer in criminal activities is:,The computer's access to large sums of money,The speed with which the crime can be accomplished,EFTS (Electronic Funds Transfer System),All the above,D,-,
1,Transmission and presentation of text and graphics is called,Tele-text,Network,Telematique,Video text,D,-,
2,Which of the following is directry controlled from a keyboard.,Card punch,Punched paper tape,Magnetic disk,Magnetic tape,A,-,
3,Which of the following is a machine for reading documents that are encoded in a way that is readable by person and machine.,Document reader,Distributed system,Artificial intelligence,Document sorter,A,-,
3,Which of the following does not affect the resolution of a video display image?,bandwidth,raster scan rate,vertical and horizontal lines of resolution,screen size,D,-,
3,Which was the first commercial computer built by M.V. Wilkies.,Super computer,LEO,Mainframe,Micro computer,B,-,
2,Disketts and hard disks are,Direct access devices,Sequential access devices,Slower than magnetic tape,Used only in mainframe computers,A,-,
1,"If you see a diskette with a piece of foil covering its notch, it is said to be",write-protected,copy-protected,write-enabled,foil-covered,A,-,
1,No computer can do anything without a,program,memory,chip,output device,A,-,
3,The estimation of the value of a function at a point beyond the interval in which the data lies is called known as,Interpolation,Simulation,Emulation,Extra polation,A,-,
2,An input device that is able to interpret pencil marks on paper media is known as,Magnetic disk,Optical Mark Reader,Card Puncher,Magnetic tape,B,-,
3,Front-end processor is a _____ designed specifically      to      handle      the communications processing task.,ALU,Control unit,CPU,Register,C,-,
1,The shifting of a program from one of the memory addresses to another is,Data transmission,Data collection,Relocation,Database,C,-,
1,Arranging data in a specific order is called,Merging,Sorting,Classification,Verification,B,-,
1,The area of computer science which is concerned with the display of pictures is,Networks,Graphics,Designing,Architecture,B,-,
1,"Which of the following is a computer memory that can be programmed once, but not reprogrammed.",ROM,RAM,PROM,EPROM,C,-,
2,A programming language intended to solve a no. of different types of problems is,COBOL,General purpose programming language,BASIC,FORTRAN,B,-,
2,Which of the following is used as a primary storage device?,Magnetic drum,PROM,Floppy disk,All of the above,B,-,
1,A program used to detect overall system malfunction is,System analysis,System software,Utilities,System diagnostics,D,-,
1,"A computer, by definition, is any device that computers. This broad definition includes which of the following?",Calculators,Cash registers,Automotive controllers,All of the above,D,-,
3,What was the computer conceived by Babbage?,Analytical Engine,Arithmetic Machine,Donald Knuth,All of the above,A,-,
3,A acronym for the organisation that publishes programming language standard is,ASCn,BCD,ANSI,EBCDIC,C,-,
3,Which of the following is used to make a programs run when the computer is switched on.,Autoboot,Warmboot,Bubble,Authentication,A,-,
3,A micro processor chip used in a PC system,Performs the arithmetic-logic and control functions,Is the only chip cound in most PC models,Almost always operates on by-bits of data at a time,Performs  the  primary  storage function,A,-,
2,ILLIAC is a,Super computer,Mini computer,Mainframe computer,Micro computer,A,-,
1,An electrical inter-connection that permit 8 or more bits of data to be moved in the same instant of time is called,Outline processor,Parallel interface,Page layout program,Fasimile system,B,-,
3,The hardware in which data may be stored for a computer system is called,Registers,Bus,Control unit,Memory,D,-,
3,Conversion of an octal number 738 to binary number is,1101112,1111002,1100102,1110112,D,-,
1,Software that's loaded into a computer primary storage area is known as,Memory-resident package,File management system,Electronic spread sheet program,Utilities,A,-,
1,Which of the following are the building blocks of all the circuits in a computer.,Circuit switch,Logic gates,Logical Operators,Instructions,B,-,
1,How many symbols exist in Baudot code?,42,116,58,76,C,-,
3,Which gate sends on a pulse when it receives one at either or both of its terminals.,NOR,NOT,OR,NAND,C,-,
3,A circuit which can store information is known as,Integrated circuit,Chip,Memory cell,Gate,C,-,
3,Where was the India's first computer installed and when?,"Institute of Social Science, Agra, 1955","Indian   Institute   of  Statistics, Delhi, 1957","Indian     Statistical     Institute, Calcutta, 1955","Indian    Institute    of   Science, Bangalore,  1971",C,-,
2,A language based on graphics for use in education is,PROLOG,LOGO,COBOL,BASIC,B,-,
1,Non-volatility is an important advantage of,CCD's,Magnetic tapes and disks,Magnetic bubbles,Both (b) and (c),D,-,
3,Which company produces processors for the Apple Macintosh?,IBM,Motorola,Intel,AMD,B,-,
2,The essential features of a number system are,Radix,Set of distinct counting digits,bits,Both (a) & (b),D,-,
1,Which of the following high speed non¬impact printers are fast enough to print the entire book in about 1 minute.,Laser,Dot-matrix,Page,Line,C,-,
3,An identifying label on the first record of magnetic tape is,Punched paper tape,Optical mark reader,Tape label,Joystick,C,-,
3,Super computers are primarily useful for,Input-output intensive processing,Data-retrieval operations,Mathematical-intensive scientific applications,All of the above,C,-,
1,A reflective marker that indicates the end of the usable tape is,End user,End-of-tape,Optical mark reader,FAX,B,-,
1,Which of the following are not likely to be found on a PC main circuit board,RAM chips,Microprocessor chips,ROM chips,LCD clocks,D,-,
1,A specific part of an arithmetic & logic unit that is used to perform the operation of multiplication is,Multiplier,Multiplener,Multivibrator,Quantization,A,-,
2,Which of the following is used for input and output both,Graph plotter,Teletype terminal,Line printer,All of the above,B,-,
1,Character readers are those devices which read the characters printed on the source documents and then convert them directly into computer-usable input. Which of the following is not a character reader?,OCR,MICR,OMR,LCD,D,-,
3,SPSS stands for,Statistical Package for Systems Science,Systems   Package   for   Social Science,Statistical  Package  for  Sociai Science,All of the above,C,-,
1,An Integrated Circuit (IC) is,Fabricated on a tiny silicon chip,A complicated circuit,Much   costlier   than   a   single transistor,An integrating device,A,-,
1,Which of the following is a machine for reading documents that are encoded in a way that is readable by person and machine.,Document reader,Distributed system,Artificial intelligence,Document sorter,A,-,
1,Which of the following does not affect the resolution of a video display image?,bandwidth,raster scan rate,vertical and horizontal lines of resolution,screen size,D,-,
2,Which was the first commercial computer built by M.V. Wilkies.,Super computer,LEO,Mainframe,Micro computer,B,-,
3,Disketts and hard disks are,Direct access devices,Sequential access devices,Slower than magnetic tape,Used only in mainframe computers,A,-,
2,"If you see a diskette with a piece of foil covering its notch, it is said to be",write-protected,copy-protected,write-enabled,foil-covered,A,-,
2,The 2's complement number of 110010 is,1101,110011,10011,None of the above,D,-,
3,The purpose of an application program is to,Convert program written in high level language to machine language,Meet specific user needs,Allow the operating system to control resources better,Make off-line equpment run better,B,-,
1,Which of the following translate back from machine code something resembling the source language,Interpreter,Compiler,Assembler,Decompiler,D,-,
1,"Who developed a mechanical device in the 17th century that could add, subtract, multiply, divide and find square roots?",Napier,Babbage,Pascal,Leibnitz,D,-,
3,Serial access memories are useful in applications where,data consists of numbers,short access time is required,each stored word is processed differently,data naturally needs to flow in and out in serial form,D,-,
2,A six - digit card field used for postal ZIP codes is defined as,A letter field,An alphabetic field,A numeric field,An alphanumeric field,C,-,
1,The octal equivalent of the number 11010.1011 is,32.54,63.51,32.27,All of the above,A,-,
2,Super-computers,Are found at thousands of sites around the world,Can now fit on a single silicon chip,Are usually designed to process accounting applications,Are not fast enough for some applications,D,-,
